trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0-3,05:45:00,05:46:00,000,10,10,0,0,,1
0-3,05:45:00,05:46:00,000--220,11,11,0,0,,1
0-3,05:45:00,05:46:00,220,12,12,0,0,,1
0-3,05:45:00,05:46:00,220--331,13,13,0,0,,1
0-3,05:45:00,05:46:00,331,14,14,0,0,,1
0-3,05:45:00,05:46:00,331--224,15,15,0,0,,1
0-3,05:45:00,05:46:00,224,16,16,0,0,,1
0-3,05:45:00,05:46:00,224--004,17,17,0,0,,1
0-3,05:45:00,05:46:00,004,18,18,0,0,,1
0-3,05:45:00,05:46:00,004--334,19,19,0,0,,1
0-3,05:45:00,05:46:00,334,20,20,0,0,,1
0-4,06:00:00,06:01:00,3313,0,0,0,0,,1
0-4,06:00:00,06:01:00,3313--0013,1,1,0,0,,1
0-4,06:00:00,06:01:00,0013,2,2,0,0,,1
0-4,06:00:00,06:01:00,0013--2213,3,3,0,0,,1
0-4,06:00:00,06:01:00,2213,4,4,0,0,,1
0-4,06:00:00,06:01:00,2213--4411,5,5,0,0,,1
0-4,06:00:00,06:01:00,4411,6,6,0,0,,1
0-4,06:00:00,06:01:00,4411--110,7,7,0,0,,1
0-4,06:00:00,06:01:00,110,8,8,0,0,,1
0-4,06:00:00,06:01:00,110--000,9,9,0,0,,1
0-4,06:00:00,06:01:00,000,10,10,0,0,,1
0-4,06:00:00,06:01:00,000--220,11,11,0,0,,1
0-4,06:00:00,06:01:00,220,12,12,0,0,,1
0-4,06:00:00,06:01:00,220--331,13,13,0,0,,1
0-4,06:00:00,06:01:00,331,14,14,0,0,,1
0-4,06:00:00,06:01:00,331--224,15,15,0,0,,1
0-4,06:00:00,06:01:00,224,16,16,0,0,,1
0-4,06:00:00,06:01:00,224--004,17,17,0,0,,1
0-4,06:00:00,06:01:00,004,18,18,0,0,,1
0-4,06:00:00,06:01:00,004--334,19,19,0,0,,1
0-4,06:00:00,06:01:00,334,20,20,0,0,,1
0-5,06:15:00,06:16:00,3313,0,0,0,0,,1
0-5,06:15:00,06:16:00,3313--0013,1,1,0,0,,1
0-5,06:15:00,06:16:00,0013,2,2,0,0,,1
0-5,06:15:00,06:16:00,0013--2213,3,3,0,0,,1
0-5,06:15:00,06:16:00,2213,4,4,0,0,,1
0-5,06:15:00,06:16:00,2213--4411,5,5,0,0,,1
0-5,06:15:00,06:16:00,4411,6,6,0,0,,1
0-5,06:15:00,06:16:00,4411--110,7,7,0,0,,1
0-5,06:15:00,06:16:00,110,8,8,0,0,,1
0-5,06:15:00,06:16:00,110--000,9,9,0,0,,1
0-5,06:15:00,06:16:00,000,10,10,0,0,,1
0-5,06:15:00,06:16:00,000--220,11,11,0,0,,1
0-5,06:15:00,06:16:00,220,12,12,0,0,,1
0-5,06:15:00,06:16:00,220--331,13,13,0,0,,1
0-5,06:15:00,06:16:00,331,14,14,0,0,,1
0-5,06:15:00,06:16:00,331--224,15,15,0,0,,1
0-5,06:15:00,06:16:00,224,16,16,0,0,,1
0-5,06:15:00,06:16:00,224--004,17,17,0,0,,1
0-5,06:15:00,06:16:00,004,18,18,0,0,,1
0-5,06:15:00,06:16:00,004--334,19,19,0,0,,1
0-5,06:15:00,06:16:00,334,20,20,0,0,,1
0-6,06:30:00,06:31:00,3313,0,0,0,0,,1
0-6,06:30:00,06:31:00,3313--0013,1,1,0,0,,1
0-6,06:30:00,06:31:00,0013,2,2,0,0,,1
0-6,06:30:00,06:31:00,0013--2213,3,3,0,0,,1
0-6,06:30:00,06:31:00,2213,4,4,0,0,,1
0-6,06:30:00,06:31:00,2213--4411,5,5,0,0,,1
0-6,06:30:00,06:31:00,4411,6,6,0,0,,1
0-6,06:30:00,06:31:00,4411--110,7,7,0,0,,1
0-6,06:30:00,06:31:00,110,8,8,0,0,,1
0-6,06:30:00,06:31:00,110--000,9,9,0,0,,1
0-6,06:30:00,06:31:00,000,10,10,0,0,,1
0-6,06:30:00,06:31:00,000--220,11,11,0,0,,1
0-6,06:30:00,06:31:00,220,12,12,0,0,,1
0-6,06:30:00,06:31:00,220--331,13,13,0,0,,1
0-6,06:30:00,06:31:00,331,14,14,0,0,,1
0-6,06:30:00,06:31:00,331--224,15,15,0,0,,1
0-6,06:30:00,06:31:00,224,16,16,0,0,,1
0-6,06:30:00,06:31:00,224--004,17,17,0,0,,1
0-6,06:30:00,06:31:00,004,18,18,0,0,,1
0-6,06:30:00,06:31:00,004--334,19,19,0,0,,1
0-6,06:30:00,06:31:00,334,20,20,0,0,,1
0-7,06:45:00,06:46:00,3313,0,0,0,0,,1
0-7,06:45:00,06:46:00,3313--0013,1,1,0,0,,1
0-7,06:45:00,06:46:00,0013,2,2,0,0,,1
0-7,06:45:00,06:46:00,0013--2213,3,3,0,0,,1
0-7,06:45:00,06:46:00,2213,4,4,0,0,,1
0-7,06:45:00,06:46:00,2213--4411,5,5,0,0,,1
0-7,06:45:00,06:46:00,4411,6,6,0,0,,1
0-7,06:45:00,06:46:00,4411--110,7,7,0,0,,1
0-7,06:45:00,06:46:00,110,8,8,0,0,,1
0-7,06:45:00,06:46:00,110--000,9,9,0,0,,1
0-7,06:45:00,06:46:00,000,10,10,0,0,,1
0-7,06:45:00,06:46:00,000--220,11,11,0,0,,1
0-7,06:45:00,06:46:00,220,12,12,0,0,,1
0-7,06:45:00,06:46:00,220--331,13,13,0,0,,1
0-7,06:45:00,06:46:00,331,14,14,0,0,,1
0-7,06:45:00,06:46:00,331--224,15,15,0,0,,1
0-7,06:45:00,06:46:00,224,16,16,0,0,,1
0-7,06:45:00,06:46:00,224--004,17,17,0,0,,1
0-7,06:45:00,06:46:00,004,18,18,0,0,,1
0-7,06:45:00,06:46:00,004--334,19,19,0,0,,1
0-7,06:45:00,06:46:00,334,20,20,0,0,,1
0-8,07:00:00,07:01:00,3313,0,0,0,0,,1
0-8,07:00:00,07:01:00,3313--0013,1,1,0,0,,1
0-8,07:00:00,07:01:00,0013,2,2,0,0,,1
0-8,07:00:00,07:01:00,0013--2213,3,3,0,0,,1
0-8,07:00:00,07:01:00,2213,4,4,0,0,,1
0-8,07:00:00,07:01:00,2213--4411,5,5,0,0,,1
0-8,07:00:00,07:01:00,4411,6,6,0,0,,1
0-8,07:00:00,07:01:00,4411--110,7,7,0,0,,1
0-8,07:00:00,07:01:00,110,8,8,0,0,,1
0-8,07:00:00,07:01:00,110--000,9,9,0,0,,1
0-8,07:00:00,07:01:00,000,10,10,0,0,,1
0-8,07:00:00,07:01:00,000--220,11,11,0,0,,1
0-8,07:00:00,07:01:00,220,12,12,0,0,,1
0-8,07:00:00,07:01:00,220--331,13,13,0,0,,1
0-8,07:00:00,07:01:00,331,14,14,0,0,,1
0-8,07:00:00,07:01:00,331--224,15,15,0,0,,1
0-8,07:00:00,07:01:00,224,16,16,0,0,,1
0-8,07:00:00,07:01:00,224--004,17,17,0,0,,1
0-8,07:00:00,07:01:00,004,18,18,0,0,,1
0-8,07:00:00,07:01:00,004--334,19,19,0,0,,1
0-8,07:00:00,07:01:00,334,20,20,0,0,,1
0-9,07:15:00,07:16:00,3313,0,0,0,0,,1
0-9,07:15:00,07:16:00,3313--0013,1,1,0,0,,1
0-9,07:15:00,07:16:00,0013,2,2,0,0,,1
0-9,07:15:00,07:16:00,0013--2213,3,3,0,0,,1
0-9,07:15:00,07:16:00,2213,4,4,0,0,,1
0-9,07:15:00,07:16:00,2213--4411,5,5,0,0,,1
0-9,07:15:00,07:16:00,4411,6,6,0,0,,1
0-9,07:15:00,07:16:00,4411--110,7,7,0,0,,1
0-9,07:15:00,07:16:00,110,8,8,0,0,,1
0-9,07:15:00,07:16:00,110--000,9,9,0,0,,1
0-9,07:15:00,07:16:00,000,10,10,0,0,,1
0-9,07:15:00,07:16:00,000--220,11,11,0,0,,1
0-9,07:15:00,07:16:00,220,12,12,0,0,,1
0-9,07:15:00,07:16:00,220--331,13,13,0,0,,1
0-9,07:15:00,07:16:00,331,14,14,0,0,,1
0-9,07:15:00,07:16:00,331--224,15,15,0,0,,1
0-9,07:15:00,07:16:00,224,16,16,0,0,,1
0-9,07:15:00,07:16:00,224--004,17,17,0,0,,1
0-9,07:15:00,07:16:00,004,18,18,0,0,,1
0-9,07:15:00,07:16:00,004--334,19,19,0,0,,1
0-9,07:15:00,07:16:00,334,20,20,0,0,,1
0-10,07:30:00,07:31:00,3313,0,0,0,0,,1
0-10,07:30:00,07:31:00,3313--0013,1,1,0,0,,1
0-10,07:30:00,07:31:00,0013,2,2,0,0,,1
0-10,07:30:00,07:31:00,0013--2213,3,3,0,0,,1
0-10,07:30:00,07:31:00,2213,4,4,0,0,,1
0-10,07:30:00,07:31:00,2213--4411,5,5,0,0,,1
0-10,07:30:00,07:31:00,4411,6,6,0,0,,1
0-10,07:30:00,07:31:00,4411--110,7,7,0,0,,1
0-10,07:30:00,07:31:00,110,8,8,0,0,,1
0-10,07:30:00,07:31:00,110--000,9,9,0,0,,1
0-10,07:30:00,07:31:00,000,10,10,0,0,,1
0-10,07:30:00,07:31:00,000--220,11,11,0,0,,1
0-10,07:30:00,07:31:00,220,12,12,0,0,,1
0-10,07:30:00,07:31:00,220--331,13,13,0,0,,1
0-10,07:30:00,07:31:00,331,14,14,0,0,,1
0-10,07:30:00,07:31:00,331--224,15,15,0,0,,1
0-10,07:30:00,07:31:00,224,16,16,0,0,,1
0-10,07:30:00,07:31:00,224--004,17,17,0,0,,1
0-10,07:30:00,07:31:00,004,18,18,0,0,,1
0-10,07:30:00,07:31:00,004--334,19,19,0,0,,1
0-10,07:30:00,07:31:00,334,20,20,0,0,,1
0-11,07:45:00,07:46:00,3313,0,0,0,0,,1
0-11,07:45:00,07:46:00,3313--0013,1,1,0,0,,1
0-11,07:45:00,07:46:00,0013,2,2,0,0,,1
0-11,07:45:00,07:46:00,0013--2213,3,3,0,0,,1
0-11,07:45:00,07:46:00,2213,4,4,0,0,,1
0-11,07:45:00,07:46:00,2213--4411,5,5,0,0,,1
0-11,07:45:00,07:46:00,4411,6,6,0,0,,1
0-11,07:45:00,07:46:00,4411--110,7,7,0,0,,1
0-11,07:45:00,07:46:00,110,8,8,0,0,,1
0-11,07:45:00,07:46:00,110--000,9,9,0,0,,1
0-11,07:45:00,07:46:00,000,10,10,0,0,,1
0-11,07:45:00,07:46:00,000--220,11,11,0,0,,1
0-11,07:45:00,07:46:00,220,12,12,0,0,,1
0-11,07:45:00,07:46:00,220--331,13,13,0,0,,1
0-11,07:45:00,07:46:00,331,14,14,0,0,,1
0-11,07:45:00,07:46:00,331--224,15,15,0,0,,1
0-11,07:45:00,07:46:00,224,16,16,0,0,,1
0-11,07:45:00,07:46:00,224--004,17,17,0,0,,1
0-11,07:45:00,07:46:00,004,18,18,0,0,,1
0-11,07:45:00,07:46:00,004--334,19,19,0,0,,1
0-11,07:45:00,07:46:00,334,20,20,0,0,,1
0-12,08:00:00,08:01:00,3313,0,0,0,0,,1
0-12,08:00:00,08:01:00,3313--0013,1,1,0,0,,1
0-12,08:00:00,08:01:00,0013,2,2,0,0,,1
0-12,08:00:00,08:01:00,0013--2213,3,3,0,0,,1
0-12,08:00:00,08:01:00,2213,4,4,0,0,,1
0-12,08:00:00,08:01:00,2213--4411,5,5,0,0,,1
0-12,08:00:00,08:01:00,4411,6,6,0,0,,1
0-12,08:00:00,08:01:00,4411--110,7,7,0,0,,1
0-12,08:00:00,08:01:00,110,8,8,0,0,,1
0-12,08:00:00,08:01:00,110--000,9,9,0,0,,1
0-12,08:00:00,08:01:00,000,10,10,0,0,,1
0-12,08:00:00,08:01:00,000--220,11,11,0,0,,1
0-12,08:00:00,08:01:00,220,12,12,0,0,,1
0-12,08:00:00,08:01:00,220--331,13,13,0,0,,1
0-12,08:00:00,08:01:00,331,14,14,0,0,,1
0-12,08:00:00,08:01:00,331--224,15,15,0,0,,1
0-12,08:00:00,08:01:00,224,16,16,0,0,,1
0-12,08:00:00,08:01:00,224--004,17,17,0,0,,1
0-12,08:00:00,08:01:00,004,18,18,0,0,,1
0-12,08:00:00,08:01:00,004--334,19,19,0,0,,1
0-12,08:00:00,08:01:00,334,20,20,0,0,,1
0-13,08:15:00,08:16:00,3313,0,0,0,0,,1
0-13,08:15:00,08:16:00,3313--0013,1,1,0,0,,1
0-13,08:15:00,08:16:00,0013,2,2,0,0,,1
0-13,08:15:00,08:16:00,0013--2213,3,3,0,0,,1
0-13,08:15:00,08:16:00,2213,4,4,0,0,,1
0-13,08:15:00,08:16:00,2213--4411,5,5,0,0,,1
0-13,08:15:00,08:16:00,4411,6,6,0,0,,1
0-13,08:15:00,08:16:00,4411--110,7,7,0,0,,1
0-13,08:15:00,08:16:00,110,8,8,0,0,,1
0-13,08:15:00,08:16:00,110--000,9,9,0,0,,1
0-13,08:15:00,08:16:00,000,10,10,0,0,,1
0-13,08:15:00,08:16:00,000--220,11,11,0,0,,1
0-13,08:15:00,08:16:00,220,12,12,0,0,,1
0-13,08:15:00,08:16:00,220--331,13,13,0,0,,1
0-13,08:15:00,08:16:00,331,14,14,0,0,,1
0-13,08:15:00,08:16:00,331--224,15,15,0,0,,1
0-13,08:15:00,08:16:00,224,16,16,0,0,,1
0-13,08:15:00,08:16:00,224--004,17,17,0,0,,1
0-13,08:15:00,08:16:00,004,18,18,0,0,,1
0-13,08:15:00,08:16:00,004--334,19,19,0,0,,1
0-13,08:15:00,08:16:00,334,20,20,0,0,,1
0-14,08:30:00,08:31:00,3313,0,0,0,0,,1
0-14,08:30:00,08:31:00,3313--0013,1,1,0,0,,1
0-14,08:30:00,08:31:00,0013,2,2,0,0,,1
0-14,08:30:00,08:31:00,0013--2213,3,3,0,0,,1
0-14,08:30:00,08:31:00,2213,4,4,0,0,,1
0-14,08:30:00,08:31:00,2213--4411,5,5,0,0,,1
0-14,08:30:00,08:31:00,4411,6,6,0,0,,1
0-14,08:30:00,08:31:00,4411--110,7,7,0,0,,1
0-14,08:30:00,08:31:00,110,8,8,0,0,,1
0-14,08:30:00,08:31:00,110--000,9,9,0,0,,1
0-14,08:30:00,08:31:00,000,10,10,0,0,,1
0-14,08:30:00,08:31:00,000--220,11,11,0,0,,1
0-14,08:30:00,08:31:00,220,12,12,0,0,,1
0-14,08:30:00,08:31:00,220--331,13,13,0,0,,1
0-14,08:30:00,08:31:00,331,14,14,0,0,,1
0-14,08:30:00,08:31:00,331--224,15,15,0,0,,1
0-14,08:30:00,08:31:00,224,16,16,0,0,,1
0-14,08:30:00,08:31:00,224--004,17,17,0,0,,1
0-14,08:30:00,08:31:00,004,18,18,0,0,,1
0-14,08:30:00,08:31:00,004--334,19,19,0,0,,1
0-14,08:30:00,08:31:00,334,20,20,0,0,,1
0-15,08:45:00,08:46:00,3313,0,0,0,0,,1
0-15,08:45:00,08:46:00,3313--0013,1,1,0,0,,1
0-15,08:45:00,08:46:00,0013,2,2,0,0,,1
0-15,08:45:00,08:46:00,0013--2213,3,3,0,0,,1
0-15,08:45:00,08:46:00,2213,4,4,0,0,,1
0-15,08:45:00,08:46:00,2213--4411,5,5,0,0,,1
0-15,08:45:00,08:46:00,4411,6,6,0,0,,1
0-15,08:45:00,08:46:00,4411--110,7,7,0,0,,1
0-15,08:45:00,08:46:00,110,8,8,0,0,,1
0-15,08:45:00,08:46:00,110--000,9,9,0,0,,1
0-15,08:45:00,08:46:00,000,10,10,0,0,,1
0-15,08:45:00,08:46:00,000--220,11,11,0,0,,1
0-15,08:45:00,08:46:00,220,12,12,0,0,,1
0-15,08:45:00,08:46:00,220--331,13,13,0,0,,1
0-15,08:45:00,08:46:00,331,14,14,0,0,,1
0-15,08:45:00,08:46:00,331--224,15,15,0,0,,1
0-15,08:45:00,08:46:00,224,16,16,0,0,,1
0-15,08:45:00,08:46:00,224--004,17,17,0,0,,1
0-15,08:45:00,08:46:00,004,18,18,0,0,,1
0-15,08:45:00,08:46:00,004--334,19,19,0,0,,1
0-15,08:45:00,08:46:00,334,20,20,0,0,,1
0-16,09:00:00,09:01:00,3313,0,0,0,0,,1
0-16,09:00:00,09:01:00,3313--0013,1,1,0,0,,1
0-16,09:00:00,09:01:00,0013,2,2,0,0,,1
0-16,09:00:00,09:01:00,0013--2213,3,3,0,0,,1
0-16,09:00:00,09:01:00,2213,4,4,0,0,,1
0-16,09:00:00,09:01:00,2213--4411,5,5,0,0,,1
0-16,09:00:00,09:01:00,4411,6,6,0,0,,1
0-16,09:00:00,09:01:00,4411--110,7,7,0,0,,1
0-16,09:00:00,09:01:00,110,8,8,0,0,,1
0-16,09:00:00,09:01:00,110--000,9,9,0,0,,1
0-16,09:00:00,09:01:00,000,10,10,0,0,,1
0-16,09:00:00,09:01:00,000--220,11,11,0,0,,1
0-16,09:00:00,09:01:00,220,12,12,0,0,,1
0-16,09:00:00,09:01:00,220--331,13,13,0,0,,1
0-16,09:00:00,09:01:00,331,14,14,0,0,,1
0-16,09:00:00,09:01:00,331--224,15,15,0,0,,1
0-16,09:00:00,09:01:00,224,16,16,0,0,,1
0-16,09:00:00,09:01:00,224--004,17,17,0,0,,1
0-16,09:00:00,09:01:00,004,18,18,0,0,,1
0-16,09:00:00,09:01:00,004--334,19,19,0,0,,1
0-16,09:00:00,09:01:00,334,20,20,0,0,,1
0-17,09:15:00,09:16:00,3313,0,0,0,0,,1
0-17,09:15:00,09:16:00,3313--0013,1,1,0,0,,1
0-17,09:15:00,09:16:00,0013,2,2,0,0,,1
0-17,09:15:00,09:16:00,0013--2213,3,3,0,0,,1
0-17,09:15:00,09:16:00,2213,4,4,0,0,,1
0-17,09:15:00,09:16:00,2213--4411,5,5,0,0,,1
0-17,09:15:00,09:16:00,4411,6,6,0,0,,1
0-17,09:15:00,09:16:00,4411--110,7,7,0,0,,1
0-17,09:15:00,09:16:00,110,8,8,0,0,,1
0-17,09:15:00,09:16:00,110--000,9,9,0,0,,1
0-17,09:15:00,09:16:00,000,10,10,0,0,,1
0-17,09:15:00,09:16:00,000--220,11,11,0,0,,1
0-17,09:15:00,09:16:00,220,12,12,0,0,,1
0-17,09:15:00,09:16:00,220--331,13,13,0,0,,1
0-17,09:15:00,09:16:00,331,14,14,0,0,,1
0-17,09:15:00,09:16:00,331--224,15,15,0,0,,1
0-17,09:15:00,09:16:00,224,16,16,0,0,,1
0-17,09:15:00,09:16:00,224--004,17,17,0,0,,1
0-17,09:15:00,09:16:00,004,18,18,0,0,,1
0-17,09:15:00,09:16:00,004--334,19,19,0,0,,1
0-17,09:15:00,09:16:00,334,20,20,0,0,,1
0-18,09:30:00,09:31:00,3313,0,0,0,0,,1
0-18,09:30:00,09:31:00,3313--0013,1,1,0,0,,1
0-18,09:30:00,09:31:00,0013,2,2,0,0,,1
0-18,09:30:00,09:31:00,0013--2213,3,3,0,0,,1
0-18,09:30:00,09:31:00,2213,4,4,0,0,,1
0-18,09:30:00,09:31:00,2213--4411,5,5,0,0,,1
0-18,09:30:00,09:31:00,4411,6,6,0,0,,1
0-18,09:30:00,09:31:00,4411--110,7,7,0,0,,1
0-18,09:30:00,09:31:00,110,8,8,0,0,,1
0-18,09:30:00,09:31:00,110--000,9,9,0,0,,1
0-18,09:30:00,09:31:00,000,10,10,0,0,,1
0-18,09:30:00,09:31:00,000--220,11,11,0,0,,1
0-18,09:30:00,09:31:00,220,12,12,0,0,,1
0-18,09:30:00,09:31:00,220--331,13,13,0,0,,1
0-18,09:30:00,09:31:00,331,14,14,0,0,,1
0-18,09:30:00,09:31:00,331--224,15,15,0,0,,1
0-18,09:30:00,09:31:00,224,16,16,0,0,,1
0-18,09:30:00,09:31:00,224--004,17,17,0,0,,1
0-18,09:30:00,09:31:00,004,18,18,0,0,,1
0-18,09:30:00,09:31:00,004--334,19,19,0,0,,1
0-18,09:30:00,09:31:00,334,20,20,0,0,,1
0-19,09:45:00,09:46:00,3313,0,0,0,0,,1
0-19,09:45:00,09:46:00,3313--0013,1,1,0,0,,1
0-19,09:45:00,09:46:00,0013,2,2,0,0,,1
0-19,09:45:00,09:46:00,0013--2213,3,3,0,0,,1
0-19,09:45:00,09:46:00,2213,4,4,0,0,,1
0-19,09:45:00,09:46:00,2213--4411,5,5,0,0,,1
0-19,09:45:00,09:46:00,4411,6,6,0,0,,1
0-19,09:45:00,09:46:00,4411--110,7,7,0,0,,1
0-19,09:45:00,09:46:00,110,8,8,0,0,,1
0-19,09:45:00,09:46:00,110--000,9,9,0,0,,1
0-19,09:45:00,09:46:00,000,10,10,0,0,,1
0-19,09:45:00,09:46:00,000--220,11,11,0,0,,1
0-19,09:45:00,09:46:00,220,12,12,0,0,,1
0-19,09:45:00,09:46:00,220--331,13,13,0,0,,1
0-19,09:45:00,09:46:00,331,14,14,0,0,,1
0-19,09:45:00,09:46:00,331--224,15,15,0,0,,1
0-19,09:45:00,09:46:00,224,16,16,0,0,,1
0-19,09:45:00,09:46:00,224--004,17,17,0,0,,1
0-19,09:45:00,09:46:00,004,18,18,0,0,,1
0-19,09:45:00,09:46:00,004--334,19,19,0,0,,1
0-19,09:45:00,09:46:00,334,20,20,0,0,,1
0-20,10:00:00,10:01:00,3313,0,0,0,0,,1
0-20,10:00:00,10:01:00,3313--0013,1,1,0,0,,1
0-20,10:00:00,10:01:00,0013,2,2,0,0,,1
0-20,10:00:00,10:01:00,0013--2213,3,3,0,0,,1
0-20,10:00:00,10:01:00,2213,4,4,0,0,,1
0-20,10:00:00,10:01:00,2213--4411,5,5,0,0,,1
0-20,10:00:00,10:01:00,4411,6,6,0,0,,1
0-20,10:00:00,10:01:00,4411--110,7,7,0,0,,1
0-20,10:00:00,10:01:00,110,8,8,0,0,,1
0-20,10:00:00,10:01:00,110--000,9,9,0,0,,1
0-20,10:00:00,10:01:00,000,10,10,0,0,,1
0-20,10:00:00,10:01:00,000--220,11,11,0,0,,1
0-20,10:00:00,10:01:00,220,12,12,0,0,,1
0-20,10:00:00,10:01:00,220--331,13,13,0,0,,1
0-20,10:00:00,10:01:00,331,14,14,0,0,,1
0-20,10:00:00,10:01:00,331--224,15,15,0,0,,1
0-20,10:00:00,10:01:00,224,16,16,0,0,,1
0-20,10:00:00,10:01:00,224--004,17,17,0,0,,1
0-20,10:00:00,10:01:00,004,18,18,0,0,,1
0-20,10:00:00,10:01:00,004--334,19,19,0,0,,1
0-20,10:00:00,10:01:00,334,20,20,0,0,,1
0-21,10:15:00,10:16:00,3313,0,0,0,0,,1
0-21,10:15:00,10:16:00,3313--0013,1,1,0,0,,1
0-21,10:15:00,10:16:00,0013,2,2,0,0,,1
0-21,10:15:00,10:16:00,0013--2213,3,3,0,0,,1
0-21,10:15:00,10:16:00,2213,4,4,0,0,,1
0-21,10:15:00,10:16:00,2213--4411,5,5,0,0,,1
0-21,10:15:00,10:16:00,4411,6,6,0,0,,1
0-21,10:15:00,10:16:00,4411--110,7,7,0,0,,1
0-21,10:15:00,10:16:00,110,8,8,0,0,,1
0-21,10:15:00,10:16:00,110--000,9,9,0,0,,1
0-21,10:15:00,10:16:00,000,10,10,0,0,,1
0-21,10:15:00,10:16:00,000--220,11,11,0,0,,1
0-21,10:15:00,10:16:00,220,12,12,0,0,,1
0-21,10:15:00,10:16:00,220--331,13,13,0,0,,1
